tempo	theta	ref	usig
1.419	88.235	50.000	51.328
1.420	88.296	50.000	51.328
1.421	88.231	50.000	51.328
1.422	88.242	50.000	51.328
1.423	88.249	50.000	51.328
1.424	88.264	50.000	51.328
1.425	88.285	50.000	51.328
1.426	88.300	50.000	51.328
1.427	88.368	50.000	51.328
1.428	88.310	50.000	51.328
1.429	88.275	50.000	51.328
1.430	88.285	50.000	51.328
1.431	88.138	50.000	51.328
1.432	88.221	50.000	51.328
1.433	88.303	50.000	51.328
1.434	88.318	50.000	51.328
1.435	88.357	50.000	51.328
1.436	88.231	50.000	51.328
1.437	88.310	50.000	51.328
1.438	88.260	50.000	51.328
1.439	88.224	50.000	51.328
1.440	88.242	50.000	51.328
1.441	88.289	50.000	51.328
1.442	88.271	50.000	51.328
1.443	88.275	50.000	51.328
1.444	88.213	50.000	51.328
1.445	88.260	50.000	51.328
1.446	88.206	50.000	51.328
1.447	88.156	50.000	51.328
1.448	88.181	50.000	51.328
1.449	88.149	50.000	51.328
1.450	88.242	50.000	51.328
1.451	88.289	50.000	51.328
1.452	88.314	50.000	51.328
1.453	88.188	50.000	51.328
1.454	88.203	50.000	51.328
1.455	88.217	50.000	51.328
1.456	88.271	50.000	51.328
1.457	88.239	50.000	51.328
1.458	88.318	50.000	51.328
1.459	88.145	50.000	51.328
1.460	88.152	50.000	51.328
1.461	88.224	50.000	51.328
1.462	88.199	50.000	51.328
1.463	88.217	50.000	51.328
1.464	88.336	50.000	51.328
1.465	88.239	50.000	51.328
1.466	88.357	50.000	51.328
1.467	88.131	50.000	51.328
1.468	88.253	50.000	51.328
1.469	88.239	50.000	51.328
1.470	88.264	50.000	51.328
1.471	88.257	50.000	51.328
1.472	88.231	50.000	51.328
1.473	88.267	50.000	51.328
1.474	88.336	50.000	51.328
1.475	88.300	50.000	51.328
1.476	88.339	50.000	51.328
1.477	88.293	50.000	51.328
1.478	88.260	50.000	51.328
1.479	88.257	50.000	51.328
1.480	88.307	50.000	51.328
1.481	88.242	50.000	51.328
1.482	88.350	50.000	51.328
1.483	88.296	50.000	51.328
1.484	88.325	50.000	51.328
1.485	88.253	50.000	51.328
1.486	88.160	50.000	51.328
1.487	88.264	50.000	51.328
1.488	88.231	50.000	51.328
1.489	88.293	50.000	51.328
1.490	88.321	50.000	51.328
1.491	88.246	50.000	51.328
1.492	88.199	50.000	51.328
1.493	88.210	50.000	51.328
1.494	88.224	50.000	51.328
1.495	88.354	50.000	51.328
1.496	88.124	50.000	51.328
1.497	88.260	50.000	51.328
1.498	88.310	50.000	51.328
1.499	88.325	50.000	51.328
1.500	88.260	50.000	51.328
1.501	88.217	50.000	51.328
1.502	88.321	50.000	51.328
1.503	88.296	50.000	51.328
1.504	88.364	50.000	51.328
1.505	88.239	50.000	51.328
1.506	88.174	50.000	51.328
1.507	88.195	50.000	51.328
1.508	88.160	50.000	51.328
1.509	88.267	50.000	51.328
1.510	88.185	50.000	51.328
1.511	88.325	50.000	51.328
1.512	88.221	50.000	51.328
1.513	88.296	50.000	51.328
1.514	88.318	50.000	51.328
1.515	88.246	50.000	51.328
1.516	88.242	50.000	51.328
1.517	88.282	50.000	51.328
1.518	88.224	50.000	51.328
1.519	88.260	50.000	51.328
1.520	88.292	50.000	51.328
1.521	88.217	50.000	51.328
1.522	88.224	50.000	51.328
1.523	88.458	50.000	51.328
1.524	88.382	50.000	51.328
1.525	88.167	50.000	51.328
1.526	88.314	50.000	51.328
1.527	88.267	50.000	51.328
1.528	88.231	50.000	51.328
1.529	88.267	50.000	51.328
1.530	88.289	50.000	51.328
1.531	88.321	50.000	51.328
1.532	88.257	50.000	51.328
1.533	88.224	50.000	51.328
1.534	88.267	50.000	51.328
1.535	88.242	50.000	51.328
1.536	88.289	50.000	51.328
1.537	88.350	50.000	51.328
1.538	88.300	50.000	51.328
1.539	88.339	50.000	51.328
1.540	88.160	50.000	51.328
1.541	88.303	50.000	51.328
1.542	88.271	50.000	51.328
1.543	88.285	50.000	51.328
1.544	88.325	50.000	51.328
1.545	88.325	50.000	51.328
1.546	88.318	50.000	51.328
1.547	88.217	50.000	51.328
1.548	88.292	50.000	51.328
1.549	88.253	50.000	51.328
1.550	88.231	50.000	51.328
1.551	88.246	50.000	51.328
1.552	88.217	50.000	51.328
1.553	88.296	50.000	51.328
1.554	88.357	50.000	51.328
1.555	88.275	50.000	51.328
1.556	88.267	50.000	51.328
1.557	88.336	50.000	51.328
1.558	88.285	50.000	51.328
1.559	88.206	50.000	51.328
1.560	88.382	50.000	51.328
1.561	88.336	50.000	51.328
1.562	88.339	50.000	51.328
1.563	88.310	50.000	51.328
1.564	88.285	50.000	51.328
1.565	88.310	50.000	51.328
1.566	88.271	50.000	51.328
1.567	88.307	50.000	51.328
1.568	88.307	50.000	51.328
1.569	88.310	50.000	51.328
1.570	88.393	50.000	51.328
1.571	88.415	50.000	51.328
1.572	88.242	50.000	51.328
1.573	88.293	50.000	51.328
1.574	88.289	50.000	51.328
1.575	88.303	50.000	51.328
1.576	88.267	50.000	51.328
1.577	88.246	50.000	51.328
1.578	88.160	50.000	51.328
1.579	88.282	50.000	51.328
1.580	88.203	50.000	51.328
1.581	88.228	50.000	51.328
1.582	88.289	50.000	51.328
1.583	88.364	50.000	51.328
1.584	88.346	50.000	51.328
1.585	88.282	50.000	51.328
1.586	88.275	50.000	51.328
1.587	88.307	50.000	51.328
1.588	88.282	50.000	51.328
1.589	88.296	50.000	51.328
1.590	88.120	50.000	51.328
1.591	88.163	50.000	51.328
1.592	88.328	50.000	51.328
