tempo	theta	ref	usig
15.939	0.672	1.000	0.000
15.940	0.708	1.000	0.000
15.941	0.653	1.000	0.000
15.942	0.690	1.000	0.000
15.943	0.679	1.000	0.000
15.944	0.781	1.000	0.000
15.945	0.741	1.000	0.000
15.946	0.693	1.000	0.000
15.947	0.744	1.000	0.000
15.948	0.650	1.000	0.000
15.949	0.722	1.000	0.000
15.950	0.592	1.000	0.000
15.951	0.730	1.000	0.000
15.952	0.788	1.000	0.000
15.953	0.704	1.000	0.000
15.954	0.730	1.000	0.000
15.955	0.668	1.000	0.000
15.956	0.632	1.000	0.000
15.957	0.643	1.000	0.000
15.958	0.653	1.000	0.000
15.959	0.744	1.000	0.000
15.960	0.675	1.000	0.000
15.961	0.719	1.000	0.000
15.962	0.701	1.000	0.000
15.963	0.730	1.000	0.000
15.964	0.675	1.000	0.000
15.965	0.650	1.000	0.000
15.966	0.693	1.000	0.000
15.967	0.791	1.000	0.000
15.968	0.737	1.000	0.000
15.969	0.831	1.000	0.000
15.970	0.759	1.000	0.000
15.971	0.784	1.000	0.000
15.972	0.621	1.000	0.000
15.973	0.748	1.000	0.000
15.974	0.882	1.000	0.000
15.975	0.868	1.000	0.000
15.976	0.904	1.000	0.000
15.977	0.908	1.000	0.000
15.978	0.908	1.000	0.000
15.979	0.940	1.000	0.000
15.980	0.955	1.000	0.000
15.981	0.853	1.000	0.000
15.982	0.799	1.000	0.000
15.983	0.770	1.000	0.000
15.984	0.690	1.000	0.000
15.985	0.712	1.000	0.000
15.986	0.722	1.000	0.000
15.987	0.682	1.000	0.000
15.988	0.726	1.000	0.000
15.989	0.733	1.000	0.000
15.990	0.759	1.000	0.000
15.991	0.661	1.000	0.000
15.992	0.668	1.000	0.000
15.993	0.737	1.000	0.000
15.994	0.603	1.000	0.000
15.995	0.766	1.000	0.000
15.996	0.675	1.000	0.000
15.997	0.693	1.000	0.000
15.998	0.599	1.000	0.000
15.999	0.704	1.000	0.000
16.000	0.675	1.000	0.000
16.001	0.643	1.000	0.000
16.002	0.701	1.000	0.000
16.003	0.639	1.000	0.000
16.004	0.675	1.000	0.000
16.005	0.741	1.000	0.000
16.006	0.708	1.000	0.000
16.007	0.668	1.000	0.000
16.008	0.682	1.000	0.000
16.009	0.737	1.000	0.000
16.010	0.635	1.000	0.000
16.011	0.748	1.000	0.000
16.012	0.704	1.000	0.000
16.013	0.701	1.000	0.000
16.014	0.828	1.000	0.000
16.015	0.701	1.000	0.000
16.016	0.632	1.000	0.000
16.017	0.650	1.000	0.000
16.018	0.610	1.000	0.000
16.019	0.704	1.000	0.000
16.020	0.704	1.000	0.000
16.021	0.730	1.000	0.000
16.022	0.773	1.000	0.000
16.023	0.762	1.000	0.000
16.024	0.759	1.000	0.000
16.025	0.664	1.000	0.000
16.026	0.766	1.000	0.000
16.027	0.759	1.000	0.000
16.028	0.799	1.000	0.000
16.029	0.755	1.000	0.000
16.030	0.802	1.000	0.000
16.031	0.770	1.000	0.000
16.032	0.719	1.000	0.000
16.033	0.664	1.000	0.000
16.034	0.588	1.000	0.000
16.035	0.679	1.000	0.000
16.036	0.672	1.000	0.000
16.037	0.682	1.000	0.000
16.038	0.748	1.000	0.000
16.039	0.770	1.000	0.000
16.040	0.802	1.000	0.000
16.041	0.701	1.000	0.000
16.042	0.653	1.000	0.000
16.043	0.770	1.000	0.000
16.044	0.726	1.000	0.000
16.045	0.904	1.000	0.000
16.046	0.693	1.000	0.000
16.047	0.766	1.000	0.000
16.048	0.697	1.000	0.000
16.049	0.715	1.000	0.000
16.050	0.603	1.000	0.000
16.051	0.708	1.000	0.000
16.052	0.737	1.000	0.000
16.053	0.704	1.000	0.000
16.054	0.624	1.000	0.000
16.055	0.715	1.000	0.000
16.056	0.588	1.000	0.000
16.057	0.715	1.000	0.000
16.058	0.682	1.000	0.000
16.059	0.770	1.000	0.000
16.060	0.628	1.000	0.000
16.061	0.741	1.000	0.000
16.062	0.712	1.000	0.000
16.063	0.784	1.000	0.000
16.064	0.715	1.000	0.000
16.065	0.559	1.000	0.000
16.066	0.679	1.000	0.000
16.067	0.693	1.000	0.000
16.068	0.661	1.000	0.000
16.069	0.697	1.000	0.000
