tempo	theta	ref	usig
78.090	0.722	1.000	0.000
78.091	0.766	1.000	0.000
78.092	0.846	1.000	0.000
78.093	0.737	1.000	0.000
78.094	0.759	1.000	0.000
78.095	0.751	1.000	0.000
78.096	0.817	1.000	0.000
78.097	0.770	1.000	0.000
78.098	0.748	1.000	0.000
78.099	0.795	1.000	0.000
78.100	0.748	1.000	0.000
78.101	0.693	1.000	0.000
78.102	0.795	1.000	0.000
78.103	0.784	1.000	0.000
78.104	0.719	1.000	0.000
78.105	0.686	1.000	0.000
78.106	0.697	1.000	0.000
78.107	0.730	1.000	0.000
78.108	0.730	1.000	0.000
78.109	0.759	1.000	0.000
78.110	0.748	1.000	0.000
78.111	0.693	1.000	0.000
78.112	0.795	1.000	0.000
78.113	0.784	1.000	0.000
78.114	0.726	1.000	0.000
78.115	0.730	1.000	0.000
78.116	0.781	1.000	0.000
78.117	0.824	1.000	0.000
78.118	0.737	1.000	0.000
78.119	0.741	1.000	0.000
78.120	0.690	1.000	0.000
78.121	0.846	1.000	0.000
78.122	0.646	1.000	0.000
78.123	0.701	1.000	0.000
78.124	0.646	1.000	0.000
78.125	0.690	1.000	0.000
78.126	0.773	1.000	0.000
78.127	0.788	1.000	0.000
78.128	0.784	1.000	0.000
78.129	0.773	1.000	0.000
78.130	0.766	1.000	0.000
78.131	0.704	1.000	0.000
78.132	0.675	1.000	0.000
78.133	0.701	1.000	0.000
78.134	0.770	1.000	0.000
78.135	0.722	1.000	0.000
78.136	0.806	1.000	0.000
78.137	0.766	1.000	0.000
78.138	0.733	1.000	0.000
78.139	0.755	1.000	0.000
78.140	0.748	1.000	0.000
78.141	0.755	1.000	0.000
78.142	0.733	1.000	0.000
78.143	0.770	1.000	0.000
78.144	0.799	1.000	0.000
78.145	0.730	1.000	0.000
78.146	0.773	1.000	0.000
78.147	0.799	1.000	0.000
78.148	0.791	1.000	0.000
78.149	0.697	1.000	0.000
78.150	0.741	1.000	0.000
78.151	0.701	1.000	0.000
78.152	0.770	1.000	0.000
78.153	0.791	1.000	0.000
78.154	0.726	1.000	0.000
78.155	0.751	1.000	0.000
78.156	0.781	1.000	0.000
78.157	0.781	1.000	0.000
78.158	0.624	1.000	0.000
78.159	0.748	1.000	0.000
78.160	0.766	1.000	0.000
78.161	0.733	1.000	0.000
78.162	0.781	1.000	0.000
78.163	0.817	1.000	0.000
78.164	0.766	1.000	0.000
78.165	0.751	1.000	0.000
78.166	0.744	1.000	0.000
78.167	0.784	1.000	0.000
78.168	0.751	1.000	0.000
78.169	0.788	1.000	0.000
78.170	0.777	1.000	0.000
78.171	0.795	1.000	0.000
78.172	0.828	1.000	0.000
78.173	0.806	1.000	0.000
78.174	0.726	1.000	0.000
78.175	0.777	1.000	0.000
78.176	0.781	1.000	0.000
78.177	0.628	1.000	0.000
78.178	0.795	1.000	0.000
78.179	0.726	1.000	0.000
78.180	0.730	1.000	0.000
78.181	0.701	1.000	0.000
78.182	0.828	1.000	0.000
78.183	0.759	1.000	0.000
78.184	0.842	1.000	0.000
78.185	0.693	1.000	0.000
78.186	0.762	1.000	0.000
78.187	0.751	1.000	0.000
78.188	0.788	1.000	0.000
78.189	0.791	1.000	0.000
78.190	0.653	1.000	0.000
78.191	0.777	1.000	0.000
78.192	0.762	1.000	0.000
78.193	0.926	1.000	0.000
78.194	0.795	1.000	0.000
78.195	0.719	1.000	0.000
78.196	0.784	1.000	0.000
78.197	0.773	1.000	0.000
78.198	0.693	1.000	0.000
78.199	0.784	1.000	0.000
78.200	0.799	1.000	0.000
78.201	0.828	1.000	0.000
78.202	0.868	1.000	0.000
78.203	0.791	1.000	0.000
78.204	0.730	1.000	0.000
78.205	0.657	1.000	0.000
78.206	0.686	1.000	0.000
78.207	0.693	1.000	0.000
78.208	0.795	1.000	0.000
78.209	0.766	1.000	0.000
78.210	0.777	1.000	0.000
78.211	0.781	1.000	0.000
78.212	0.722	1.000	0.000
78.213	0.799	1.000	0.000
78.214	0.708	1.000	0.000
78.215	0.657	1.000	0.000
78.216	0.733	1.000	0.000
78.217	0.831	1.000	0.000
78.218	0.766	1.000	0.000
78.219	0.730	1.000	0.000
78.220	0.791	1.000	0.000
78.221	0.799	1.000	0.000
78.222	0.675	1.000	0.000
78.223	0.719	1.000	0.000
78.224	0.791	1.000	0.000
78.225	0.795	1.000	0.000
78.226	0.781	1.000	0.000
78.227	0.748	1.000	0.000
78.228	0.748	1.000	0.000
78.229	0.588	1.000	0.000
78.230	0.762	1.000	0.000
78.231	0.908	1.000	0.000
78.232	0.788	1.000	0.000
78.233	0.784	1.000	0.000
78.234	0.730	1.000	0.000
78.235	0.730	1.000	0.000
78.236	0.693	1.000	0.000
78.237	0.668	1.000	0.000
78.238	0.802	1.000	0.000
78.239	0.770	1.000	0.000
78.240	0.860	1.000	0.000
78.241	0.751	1.000	0.000
78.242	0.712	1.000	0.000
78.243	0.799	1.000	0.000
78.244	0.788	1.000	0.000
78.245	0.817	1.000	0.000
78.246	0.722	1.000	0.000
78.247	0.810	1.000	0.000
78.248	0.624	1.000	0.000
78.249	0.828	1.000	0.000
78.250	0.860	1.000	0.000
78.251	0.751	1.000	0.000
78.252	0.712	1.000	0.000
78.253	0.799	1.000	0.000
78.254	0.751	1.000	0.000
78.255	0.781	1.000	0.000
78.256	0.751	1.000	0.000
78.257	0.839	1.000	0.000
