tempo	theta	ref	usig
99.280	0.428	1.000	0.000
99.281	0.486	1.000	0.000
99.282	0.472	1.000	0.000
99.283	0.497	1.000	0.000
99.284	0.454	1.000	0.000
99.285	0.468	1.000	0.000
99.286	0.483	1.000	0.000
99.287	0.465	1.000	0.000
99.288	0.505	1.000	0.000
99.289	0.563	1.000	0.000
99.290	0.443	1.000	0.000
99.291	0.465	1.000	0.000
99.292	0.483	1.000	0.000
99.293	0.472	1.000	0.000
99.294	0.439	1.000	0.000
99.295	0.407	1.000	0.000
99.296	0.465	1.000	0.000
99.297	0.497	1.000	0.000
99.298	0.479	1.000	0.000
99.299	0.483	1.000	0.000
99.300	0.454	1.000	0.000
99.301	0.501	1.000	0.000
99.302	0.563	1.000	0.000
99.303	0.541	1.000	0.000
99.304	0.523	1.000	0.000
99.305	0.476	1.000	0.000
99.306	0.428	1.000	0.000
99.307	0.421	1.000	0.000
99.308	0.501	1.000	0.000
99.309	0.465	1.000	0.000
99.310	0.461	1.000	0.000
99.311	0.443	1.000	0.000
99.312	0.465	1.000	0.000
99.313	0.519	1.000	0.000
99.314	0.468	1.000	0.000
99.315	0.450	1.000	0.000
99.316	0.457	1.000	0.000
99.317	0.407	1.000	0.000
99.318	0.519	1.000	0.000
99.319	0.407	1.000	0.000
99.320	0.399	1.000	0.000
99.321	0.617	1.000	0.000
99.322	0.501	1.000	0.000
99.323	0.468	1.000	0.000
99.324	0.486	1.000	0.000
99.325	0.450	1.000	0.000
99.326	0.552	1.000	0.000
99.327	0.505	1.000	0.000
99.328	0.432	1.000	0.000
99.329	0.501	1.000	0.000
99.330	0.501	1.000	0.000
99.331	0.497	1.000	0.000
99.332	0.421	1.000	0.000
99.333	0.410	1.000	0.000
99.334	0.450	1.000	0.000
99.335	0.472	1.000	0.000
99.336	0.483	1.000	0.000
99.337	0.483	1.000	0.000
99.338	0.457	1.000	0.000
99.339	0.447	1.000	0.000
99.340	0.447	1.000	0.000
99.341	0.443	1.000	0.000
99.342	0.443	1.000	0.000
99.343	0.461	1.000	0.000
99.344	0.465	1.000	0.000
99.345	0.476	1.000	0.000
99.346	0.505	1.000	0.000
99.347	0.450	1.000	0.000
99.348	0.490	1.000	0.000
99.349	0.501	1.000	0.000
99.350	0.526	1.000	0.000
99.351	0.479	1.000	0.000
99.352	0.392	1.000	0.000
99.353	0.570	1.000	0.000
99.354	0.472	1.000	0.000
99.355	0.515	1.000	0.000
99.356	0.497	1.000	0.000
99.357	0.454	1.000	0.000
99.358	0.428	1.000	0.000
99.359	0.483	1.000	0.000
99.360	0.403	1.000	0.000
99.361	0.555	1.000	0.000
99.362	0.526	1.000	0.000
99.363	0.570	1.000	0.000
99.364	0.530	1.000	0.000
