tempo	theta	ref	usig
29.240	0.748	1.000	0.000
29.241	0.690	1.000	0.000
29.242	0.715	1.000	0.000
29.243	0.733	1.000	0.000
29.244	0.726	1.000	0.000
29.245	0.726	1.000	0.000
29.246	0.712	1.000	0.000
29.247	0.828	1.000	0.000
29.248	0.860	1.000	0.000
29.249	0.802	1.000	0.000
29.250	0.661	1.000	0.000
29.251	0.795	1.000	0.000
29.252	0.690	1.000	0.000
29.253	0.646	1.000	0.000
29.254	0.719	1.000	0.000
29.255	0.704	1.000	0.000
29.256	0.741	1.000	0.000
29.257	0.664	1.000	0.000
29.258	0.668	1.000	0.000
29.259	0.770	1.000	0.000
29.260	0.661	1.000	0.000
29.261	0.744	1.000	0.000
29.262	0.545	1.000	0.000
29.263	0.773	1.000	0.000
29.264	0.737	1.000	0.000
29.265	0.668	1.000	0.000
29.266	0.646	1.000	0.000
29.267	0.759	1.000	0.000
29.268	0.733	1.000	0.000
29.269	0.686	1.000	0.000
29.270	0.686	1.000	0.000
29.271	0.664	1.000	0.000
29.272	0.719	1.000	0.000
29.273	0.719	1.000	0.000
29.274	0.751	1.000	0.000
29.275	0.864	1.000	0.000
29.276	0.708	1.000	0.000
29.277	0.730	1.000	0.000
29.278	0.722	1.000	0.000
29.279	0.737	1.000	0.000
29.280	0.686	1.000	0.000
29.281	0.806	1.000	0.000
29.282	0.726	1.000	0.000
29.283	0.653	1.000	0.000
29.284	0.759	1.000	0.000
29.285	0.748	1.000	0.000
29.286	0.675	1.000	0.000
29.287	0.791	1.000	0.000
29.288	0.759	1.000	0.000
29.289	0.715	1.000	0.000
29.290	0.624	1.000	0.000
29.291	0.617	1.000	0.000
29.292	0.632	1.000	0.000
29.293	0.770	1.000	0.000
29.294	0.828	1.000	0.000
29.295	0.759	1.000	0.000
29.296	0.781	1.000	0.000
29.297	0.737	1.000	0.000
29.298	0.701	1.000	0.000
29.299	0.686	1.000	0.000
29.300	0.726	1.000	0.000
29.301	0.831	1.000	0.000
29.302	0.708	1.000	0.000
29.303	0.773	1.000	0.000
29.304	0.741	1.000	0.000
29.305	0.722	1.000	0.000
29.306	0.748	1.000	0.000
29.307	0.744	1.000	0.000
29.308	0.788	1.000	0.000
29.309	0.744	1.000	0.000
29.310	0.682	1.000	0.000
29.311	0.668	1.000	0.000
29.312	0.606	1.000	0.000
29.313	0.737	1.000	0.000
29.314	0.940	1.000	0.000
29.315	0.777	1.000	0.000
29.316	0.755	1.000	0.000
29.317	0.733	1.000	0.000
29.318	0.693	1.000	0.000
29.319	0.828	1.000	0.000
29.320	0.751	1.000	0.000
29.321	0.806	1.000	0.000
29.322	0.693	1.000	0.000
29.323	0.682	1.000	0.000
29.324	0.701	1.000	0.000
29.325	0.693	1.000	0.000
29.326	0.617	1.000	0.000
29.327	0.755	1.000	0.000
29.328	0.704	1.000	0.000
29.329	0.635	1.000	0.000
29.330	0.686	1.000	0.000
29.331	0.733	1.000	0.000
29.332	0.751	1.000	0.000
